Base.run,shutdown
Base.tryLoadLibraryOS,println
Base.tryLoadLibraryOS,format
Base.tryLoadLibraryOS,loadLibrary
Base.tryLoadLibraryOS,getProperty
Base.tryLoadLibraryOS,startsWith
Base.tryLoadLibraryOS,tryLoadLibraryXPU
Base.tryLoadLibraryXPU,println
Base.tryLoadLibraryXPU,format
Base.tryLoadLibraryXPU,loadLibrary
Base.checkCall,tvmFFIGetLastError
Module.getApi,get
Module.getApi,getFunction
Module.getApi,put
Module.entryFunc,getFunction
Module.getFunction,getApi
Module.getFunction,pushArg
Module.getFunction,invoke
Module.getFunction,asFunction
Module.getFunction,getFunction
Module.importModule,getApi
Module.importModule,pushArg
Module.importModule,invoke
Module.typeKey,getApi
Module.typeKey,pushArg
Module.typeKey,invoke
Module.typeKey,asString
Module.load,getApi
Module.load,pushArg
Module.load,invoke
Module.load,asModule
Module.load,load
Module.enabled,getApi
Module.enabled,pushArg
Module.enabled,invoke
Module.enabled,asLong
APIInternal.get,get
TensorBase.release,checkCall
TensorBase.release,tvmFFIObjectFree
TensorBase.finalize,release
TensorBase.copyTo,checkCall
TensorBase.copyTo,tvmFFIDLTensorCopyFromTo
Tensor.copyFrom,checkCopySize
Tensor.copyFrom,toString
Tensor.copyFrom,wrapBytes
Tensor.copyFrom,putDouble
Tensor.copyFrom,checkCall
Tensor.copyFrom,tvmFFIDLTensorCopyFromJArray
Tensor.copyFrom,putFloat
Tensor.copyFrom,putLong
Tensor.copyFrom,putInt
Tensor.copyFrom,putShort
Tensor.copyFrom,copyFromRaw
Tensor.copyFrom,putChar
Tensor.checkCopySize,size
Tensor.checkCopySize,format
Tensor.copyFromRaw,checkCall
Tensor.copyFromRaw,tvmFFIDLTensorCopyFromJArray
Tensor.shape,checkCall
Tensor.shape,tvmFFIDLTensorGetShape
Tensor.shape,size
Tensor.shape,get
Tensor.size,shape
Tensor.asDoubleArray,toString
Tensor.asDoubleArray,groupInternalBytes
Tensor.asDoubleArray,wrapBytes
Tensor.asDoubleArray,getDouble
Tensor.asFloatArray,toString
Tensor.asFloatArray,groupInternalBytes
Tensor.asFloatArray,wrapBytes
Tensor.asFloatArray,getFloat
Tensor.asLongArray,toString
Tensor.asLongArray,groupInternalBytes
Tensor.asLongArray,wrapBytes
Tensor.asLongArray,getLong
Tensor.asIntArray,toString
Tensor.asIntArray,groupInternalBytes
Tensor.asIntArray,wrapBytes
Tensor.asIntArray,getInt
Tensor.asShortArray,toString
Tensor.asShortArray,groupInternalBytes
Tensor.asShortArray,wrapBytes
Tensor.asShortArray,getShort
