project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date
hbase,PR-4206,master,1,30273,1646988882,UNSTABLE,c43eafe7e8ecb622644cc60cccf8ddc755e10a29,66458.64,12205,1,68,2022-03-11
hbase,PR-4215,master,1,22239,1647227379,UNSTABLE,6180e560eb9e3abf41970b70df7b20f741e1b851,59965.816,12417,7,68,2022-03-13
hbase,PR-4258,master,2,17073,1647869081,UNSTABLE,0568c03cecc25b8b4be16d8c440c8d681f8639c4,84732.19,12521,3,62,2022-03-21
hbase,PR-4052,master,1,16733,1647874511,UNSTABLE,85d8067c8f4e36e89d7eaba04c28eedeea99308d,69556.22,13026,3,62,2022-03-21
hbase,PR-4258,master,3,13856,1647886155,UNSTABLE,fcfa3a3724d0531807c76768580c933bd0b409bd,68133.73,12522,2,62,2022-03-21
hbase,PR-4258,master,4,13579,1647920979,UNSTABLE,feb25f30418b31f2609a1ee8120e1d2dd01d86ff,68791.72,12522,1,62,2022-03-21
hbase,PR-4258,master,5,16036,1648118685,SUCCESS,e99e2438bb97cf581b3b1908a4f7a7648fbe4355,80637.61,12564,0,64,2022-03-24
hbase,PR-4258,master,6,16025,1648134722,UNSTABLE,1cc7333228fa056a3563aa4cbd1dfb6ced9d1004,80006.92,12563,1,64,2022-03-24
hbase,PR-4275,master,1,11849,1648202080,UNSTABLE,5102fea7d4b2e124ee770688353ea2da6f085ba3,60222.703,12509,1,64,2022-03-25
hbase,PR-4275,master,2,11747,1648348962,SUCCESS,5102fea7d4b2e124ee770688353ea2da6f085ba3,59710.414,12460,0,64,2022-03-26
hbase,PR-3360,master,1,12106,1648406738,UNSTABLE,57baa7b15a9166e7562e72b274dfea8cdf95c58a,63436.684,12530,6,64,2022-03-27
hbase,PR-3352,master,1,15500,1648406742,UNSTABLE,71583a2c80e2ddf45a7d80fc0c991ab91d8c402b,82352.62,13501,41,66,2022-03-27
hbase,PR-4294,master,1,13860,1648542282,UNSTABLE,5600a346f2e3c7b0b27f26b59861151c67ab4e58,37641.53,6188,2,31,2022-03-29
hbase,PR-4294,master,2,1992,1648696483,UNSTABLE,1715c71aca390cfb65782a9d12c7d29bb8798b6a,4379.504,1714,0,2,2022-03-30
hbase,PR-4294,master,3,13700,1648702784,UNSTABLE,be8d66b6ae9c2ac04c2ae72f2763f9886e845b68,71671.69,13861,1,70,2022-03-30
hbase,PR-4294,master,4,16352,1648807791,FAILURE,7274697e6ecf4a25499c5738d023fb81eac6d6e1,82979.56,13768,0,70,2022-04-01
