project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date
jackrabbit-oak,PR-1013,trunk,6,18482,1716403090,SUCCESS,6c0f9757d4134f6867c6563e6de74926e05b054d,13296.081,21829,0,505,2024-05-22
jackrabbit-oak,PR-2068,trunk,3,4586,1739200525,SUCCESS,f958fd993c1e981a6dbc60860dd6ab5db7d63615,14333.242,20369,0,695,2025-02-10
jackrabbit-oak,PR-2098,trunk,7,4183,1740121266,SUCCESS,96c948d58d0bf98d961b9d4491e48270a38a899f,13741.115,20565,0,646,2025-02-21
jackrabbit-oak,PR-2067,trunk,5,4344,1740140394,SUCCESS,05b1b49f1dad843fed747a3afda998a04a896f0e,14485.436,22728,0,655,2025-02-21
jackrabbit-oak,PR-2108,trunk,1,4602,1740151509,SUCCESS,1e25d6b119ec7adc2b0aada3e04faedec198ed59,14611.375,20570,0,646,2025-02-21
jackrabbit-oak,PR-2112,trunk,1,4906,1740406475,SUCCESS,08832828f029cfd32631083c3a6c6132aa5507ac,12725.351,20576,0,648,2025-02-24
jackrabbit-oak,PR-2114,trunk,1,5047,1740408715,SUCCESS,1a4d9dcce8031a25768df8f4e3332571de0dbf2d,15276.049,22747,0,656,2025-02-24
jackrabbit-oak,PR-2116,trunk,1,4254,1740491171,SUCCESS,c796c1b7528e158ee92deb440dc9939ebe3571b5,14152.313,20160,0,646,2025-02-25
jackrabbit-oak,PR-2099,trunk,14,4029,1740576292,SUCCESS,3933fcaf3d7f20d8ea30d67814dc640c8cc27452,12940.306,20104,0,653,2025-02-26
jackrabbit-oak,PR-2113,trunk,7,4283,1740747278,SUCCESS,88d33171fccc98690b88cd3342b42bc2abfdc637,14337.412,22677,0,654,2025-02-28
jackrabbit-oak,PR-2127,trunk,1,15224,1741010379,SUCCESS,f823d068248f8257c5d565edc6f216a170111022,12351.756,20619,0,646,2025-03-03
jackrabbit-oak,PR-2139,trunk,1,4678,1741184607,SUCCESS,34d8e5b5b6fbfcbe7ba12a4545a4aa418f815e7e,13702.886,20635,0,648,2025-03-05
jackrabbit-oak,PR-2149,trunk,1,4362,1741334906,SUCCESS,d173ca19219a198b50e3fabdac6937a096846e9f,13720.138,20653,0,646,2025-03-07
jackrabbit-oak,PR-2145,trunk,2,3961,1741342693,SUCCESS,86987050d57a21f2ecbcbcd359e50d55eb34a5a7,13461.887,22817,0,655,2025-03-07
jackrabbit-oak,PR-2146,trunk,3,4348,1741350957,SUCCESS,11a7aca3062ae1012e1a7191ad6b472de3584ce2,15118.449,22818,0,655,2025-03-07
jackrabbit-oak,PR-2162,trunk,2,4936,1741661555,SUCCESS,bf4b3f02d1e6b4d0a9def791408d6611800b0f31,12686.997,20254,0,646,2025-03-10
jackrabbit-oak,PR-2168,trunk,1,6125,1741674161,SUCCESS,c79afe2e3b7299e71df80702093c6b9227b17cac,14208.176,22618,0,660,2025-03-11
jackrabbit-oak,PR-2172,trunk,1,5253,1741687620,SUCCESS,1b1ae74a37dbef2ab1d7cc03e8d01d7a12a666a5,14565.561,22202,0,658,2025-03-11
