project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date
james,PR-2728,master,2,13090,1747984560,SUCCESS,d2fa567881c1b4e9a44602819cbe6f09eb97cdcb,32584.398,88203,0,626,2025-05-23
james,PR-2762,master,3,20027,1751509699,SUCCESS,fe71ea019967d9626dc6781de2c0a8599c94197a,54575.855,87564,0,722,2025-07-02
james,PR-2780,master,15,13294,1754898974,SUCCESS,89d480725bd0e6090807287fa22bdeaac9a9b099,34703.742,88048,0,618,2025-08-11
james,PR-2784,master,2,22590,1754940217,SUCCESS,bae059d4778ce744901e80fdb0bd7a473a20e835,59704.098,88286,0,618,2025-08-11
james,PR-2785,master,14,21860,1755238490,SUCCESS,16ae7300c7297c5025cd79d26cb4b300180dceb5,30399.988,44496,0,312,2025-08-15
james,PR-2787,master,2,19143,1755858659,SUCCESS,03ad9114c4a0670a28c7c123316210a403e2e5c0,26448.951,44504,0,312,2025-08-22
james,PR-2788,master,2,21935,1756022305,SUCCESS,27c3fbbbc1ac86a3315cb1e2d7102d9924f501b4,29527.033,44271,0,364,2025-08-24
james,PR-2791,master,1,22409,1756261751,SUCCESS,42cb3f2e49161013d6b65179be1b6d5c11282617,30571.652,44498,0,312,2025-08-26
james,PR-2789,master,3,19545,1756265269,SUCCESS,44837e0adfe167c7b618ad30b836d0749e47db1b,25544.195,44273,0,364,2025-08-26
james,PR-2790,master,4,19500,1756646095,SUCCESS,7d02b33508e126f504ccd82b5676cd90935e9bc2,27673.46,44503,0,312,2025-08-31
james,PR-2793,master,2,18870,1756646129,SUCCESS,b8e8216c6747e76df807d14f369fa59629343db2,27618.537,44313,0,345,2025-08-31
james,PR-2794,master,1,18772,1756891353,SUCCESS,a34255be789b93cd0b795131a97259ef55f1eef3,26019.55,44499,0,312,2025-09-03
james,PR-2795,master,1,13623,1756909833,SUCCESS,eb5843fdd80932519cb55bf1ecaecf6ec686d06b,18644.83,44505,0,312,2025-09-03
james,PR-2798,master,2,19201,1756999645,SUCCESS,66d1f18fd42fd0f6445719ef5a415501629c6ddc,27445.875,44495,0,312,2025-09-04
