project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date
kafka,PR-15294,trunk,1,17788.0,1706665644.0,UNSTABLE,9bed3a2f8045cb79959fb0718f30af9a3c5c0f6a,266866.12,111618,33,267,2024-01-30
kafka,PR-15237,trunk,4,18116.0,1706687457.0,UNSTABLE,a119e750b04f571e5c046c64429dabd946093276,313280.78,111630,16,273,2024-01-31
kafka,PR-15271,trunk,7,18523.0,1706708742.0,UNSTABLE,ce76b9e55477fa16a0a9509745ba226773244661,255052.16,111655,25,264,2024-01-31
kafka,PR-15180,trunk,7,17317.0,1706714401.0,UNSTABLE,cf45e71c3f8814147f550e6fe52bd1b03e540f6a,347151.16,111679,19,276,2024-01-31
kafka,PR-15262,trunk,4,17837.0,1706722763.0,UNSTABLE,b28e21a5f96d580e4463e20eb73738a157eb440c,209239.89,111639,14,265,2024-01-31
kafka,PR-15253,trunk,11,12804.0,1706724188.0,UNSTABLE,723b95222143df69c3d5000d0fa3782abdc6dfdb,138590.39,111888,30,257,2024-01-31
kafka,PR-15263,trunk,4,19554.0,1706758794.0,UNSTABLE,cdf9c0f0cf817e68ca27092addb21308a9bc3762,343822.2,111676,18,276,2024-01-31
kafka,PR-15285,trunk,7,16064.0,1706783203.0,UNSTABLE,ee0009605406d62614e5bc29e8087aaceadc7b5c,368306.62,111907,26,293,2024-02-01
kafka,PR-15280,trunk,4,15709.0,1706790089.0,UNSTABLE,6b12b95c5bf9475200e8247a951f319203892366,189953.92,111895,58,264,2024-02-01
kafka,PR-15249,trunk,13,15478.0,1706797025.0,UNSTABLE,85e9fd13e1e05532c76aa79401d33045805e6b29,309588.97,111904,19,275,2024-02-01
kafka,PR-15229,trunk,13,3214.0,1706803559.0,UNSTABLE,38f41b132178ecfe16d239a45e5886104f19ab9c,11950.317,5462,4,4,2024-02-01
kafka,PR-15299,trunk,2,14576.0,1706813392.0,UNSTABLE,6085a8a8c184c1e44204dcc5a449c41dc1e70c7c,198276.78,111980,16,263,2024-02-01
kafka,PR-15303,trunk,2,15317.0,1706835691.0,UNSTABLE,b85aa82b665743a674f6b24ef7359f8c201f524d,255710.39,111973,21,269,2024-02-01
kafka,PR-15245,trunk,3,15705.0,1706853840.0,UNSTABLE,87ad61837738cfe6d1d02b1f0b70bd681360d660,272524.34,111991,18,279,2024-02-02
kafka,PR-15216,trunk,33,14455.0,1706866966.0,UNSTABLE,22fcb3915e4344f1fd6c4aafa52b423c5a3aec88,267788.9,111982,11,279,2024-02-02
kafka,PR-11438,trunk,6,18373.0,1706871997.0,UNSTABLE,b2d19f25f1a72082d3f7b1b9208f9b6788a6d5aa,272093.22,111973,17,272,2024-02-02
kafka,PR-15307,trunk,1,16293.0,1706872388.0,UNSTABLE,ffcfa1a4fb13a1ff66bd56ec4e07a54fa974cd2b,235651.38,112000,16,266,2024-02-02
kafka,PR-15308,trunk,1,14577.0,1706878034.0,UNSTABLE,9019be10ed84175e29398da36db34c28d6f76837,204497.78,111992,23,273,2024-02-02
kafka,PR-14782,trunk,9,16122.0,1706882883.0,UNSTABLE,9649b2be15a2d224f2a18c4aebb1a82f9b40c313,234431.48,112022,19,264,2024-02-02
kafka,PR-15047,trunk,3,18224.0,1706938030.0,UNSTABLE,d32b5497525afb8262b1168f87523cfd8d202a76,388817.5,112105,57,276,2024-02-02
kafka,PR-14663,trunk,30,15150.0,1706983668.0,UNSTABLE,ba2c82c81597d5644148ea3fca02fcbd8df0658c,279618.34,112114,22,280,2024-02-03
kafka,PR-15314,trunk,2,13917.0,1707000850.0,UNSTABLE,8a7d11ad4ded40ac93fbd9240b8cfe0614a7d24c,292667.97,112092,30,279,2024-02-03
kafka,PR-15312,trunk,2,18018.0,1707019936.0,UNSTABLE,3a83111fcd71315a3dbff7f33f87d716447038e1,290776.16,112120,29,276,2024-02-03
kafka,PR-10977,trunk,4,18223.0,1707042152.0,UNSTABLE,ca6fd69b062c3d9445b3a023f14a96c3dc36b7a5,333159.5,112093,21,278,2024-02-04
kafka,PR-15315,3.7,1,17472.0,1707094296.0,UNSTABLE,cdfdeacdc78db30845a2b3dcb6d4028bbdf1e87a,443818.94,111127,58,284,2024-02-04
kafka,PR-15225,trunk,5,14901.0,1707097956.0,UNSTABLE,9046bf265016a655928b29b64928496ee7e69b42,310899.56,112106,19,278,2024-02-04
kafka,PR-15152,trunk,30,14410.0,1707104353.0,UNSTABLE,93e8ce5c706f92bbb34f8677343bb1f570648ce1,226372.28,112118,30,268,2024-02-04
kafka,PR-10769,trunk,4,16155.0,1707143285.0,UNSTABLE,1e23cbcd1793b8abffc1af3a72627d6753c5110a,225752.81,112119,22,264,2024-02-05
kafka,PR-10767,trunk,4,18738.0,1707144153.0,UNSTABLE,cbdb91b3c1d8f62e7ea7407919637f77e2e1039f,322296.5,112120,22,271,2024-02-05
kafka,PR-15309,trunk,7,15230.0,1707160197.0,UNSTABLE,5be4f849ea7e644e11903c93b635c6c6449603b0,290901.4,112156,40,272,2024-02-05
kafka,PR-15243,trunk,4,16368.0,1707161840.0,UNSTABLE,c45345fa402ae7ba1ceeaf99fbbabae7f9bf6616,283110.38,112134,31,272,2024-02-05
kafka,PR-15320,trunk,1,17997.0,1707174235.0,UNSTABLE,57d4ae6be11dce9f7c08824df74ee4a298b565fc,321469.94,112139,42,273,2024-02-05
kafka,PR-15321,trunk,2,15767.0,1707185081.0,UNSTABLE,1aa5ad0733cf33c0619b9592dfeaed29098475a2,282857.3,112135,23,279,2024-02-05
kafka,PR-15317,trunk,2,17507.0,1707204871.0,UNSTABLE,a0cc52a14422a905a88cc1d6d0573d7f44fd2c84,216163.94,112141,23,264,2024-02-06
kafka,PR-15322,trunk,1,14945.0,1707219137.0,UNSTABLE,df8ed8d8039930d81cdacdf9a3f14449059bb5a9,193517.81,112148,19,264,2024-02-06
kafka,PR-12148,trunk,4,16222.0,1707231840.0,UNSTABLE,c198a7ea0af0dfa1bf31602e102932b80093573e,318787.78,112133,25,276,2024-02-06
kafka,PR-9786,trunk,7,20038.0,1707233820.0,UNSTABLE,9f953e44c486e4e5115ce14a6733b39fc9d58fb2,344977.3,112129,32,274,2024-02-06
kafka,PR-15325,trunk,1,15043.0,1707248847.0,UNSTABLE,4c3d1c7394e956e750e4c8eaaceb7b87e7cba094,231893.8,112149,27,263,2024-02-06
kafka,PR-15331,trunk,1,15445.0,1707272476.0,UNSTABLE,d956519f27ee398335d77e2ba5d2fad600e8ff16,263196.75,112127,15,272,2024-02-06
kafka,PR-15332,trunk,2,16535.0,1707291815.0,UNSTABLE,506511d92010a749bde3849e41cdedaf7126133a,359591.88,112131,50,275,2024-02-07
kafka,PR-15333,trunk,2,16803.0,1707301269.0,UNSTABLE,6f62651122087928d2d7def4c45602cb6c0bbf6a,255097.22,112163,28,263,2024-02-07
kafka,PR-15239,trunk,10,16376.0,1707326937.0,UNSTABLE,5e6984adfed398a4463d64edd6ff190e26a4de65,165213.19,112171,29,256,2024-02-07
kafka,PR-15342,trunk,1,22875.0,1707403484.0,UNSTABLE,598ba8ca2836f86a08a598a89886856663ebb332,311083.62,112157,30,268,2024-02-08
kafka,PR-15344,trunk,1,17534.0,1707413979.0,UNSTABLE,727237551ae689637562472ba65ff1f0355548b3,231163.6,112154,17,263,2024-02-08
kafka,PR-15319,trunk,3,15457.0,1707442259.0,UNSTABLE,2b3a284b3739f6e5bf579ab3d5b9f8ade1266c91,359779.28,112142,29,279,2024-02-08
kafka,PR-15340,trunk,3,17220.0,1707460088.0,UNSTABLE,2079badda34cc8d180e16cd0352dd9e217ffd527,403686.84,112144,27,286,2024-02-09
kafka,PR-15346,trunk,1,16654.0,1707471820.0,UNSTABLE,d1c1af22f4c883173abe54cb44bf789a0daec076,298065.16,112154,34,272,2024-02-09
kafka,PR-15347,trunk,1,19959.0,1707482616.0,UNSTABLE,5e2978e0e746c2e8e46a5c7423270e5414db31cc,462133.25,112150,35,278,2024-02-09
kafka,PR-15020,trunk,11,15461.0,1707484728.0,UNSTABLE,5bd791df04f12909d275fbba984962b093877def,253155.52,112140,22,270,2024-02-09
kafka,PR-14995,trunk,27,15891.0,1707485500.0,UNSTABLE,ddbbac49f18f5967bd3a92efffd6fc6fe8b45b62,184698.4,112244,38,255,2024-02-09
kafka,PR-15311,trunk,8,18644.0,1707486710.0,UNSTABLE,da2502b7f89c2dab5236618473765f8477c7a46c,190426.44,112149,36,257,2024-02-09
kafka,PR-15324,trunk,6,14495.0,1707506690.0,UNSTABLE,791094e32aed7c490202ffb1cd5ca7c223f23a04,188085.34,112153,30,262,2024-02-09
kafka,PR-15349,trunk,3,3268.0,1707517778.0,SUCCESS,5f0c4766117a86a84ff9679a1665ab9103a38f9e,18678.287,87391,0,155,2024-02-09
kafka,PR-15350,trunk,1,19881.0,1707526181.0,UNSTABLE,3f6080866b6d9bd9aed97b82ab7fb082547f74dd,330599.94,112159,47,272,2024-02-09
kafka,PR-15313,trunk,9,15563.0,1707588305.0,UNSTABLE,e0ed970f5584055525358a44717a7406694866fa,267057.9,112166,23,271,2024-02-10
kafka,PR-15256,trunk,22,13807.0,1707600778.0,UNSTABLE,c33131c6988ed1c83e703fd856ac66eb86ae0f4b,296596.06,112138,19,279,2024-02-10
kafka,PR-15351,trunk,1,14559.0,1707649027.0,UNSTABLE,300c41d6e2f0ff6bb4ab9cb6f5a1c08ae732fac4,327706.2,112152,30,277,2024-02-11
kafka,PR-15352,trunk,1,21113.0,1707715070.0,UNSTABLE,b5cb06c5be402d834290f84a6709a9fb46d3ea13,422491.75,112161,66,270,2024-02-11
kafka,PR-15275,trunk,10,16809.0,1707728334.0,UNSTABLE,d247d529936070d451277fc7100ff829fe36a6fc,315556.72,112171,48,271,2024-02-12
kafka,PR-15264,trunk,12,18048.0,1707730604.0,UNSTABLE,c3f2a5cda901d306e64f0e883c245afffa608d53,303204.16,112231,32,272,2024-02-12
kafka,PR-14862,trunk,20,15041.0,1707735314.0,UNSTABLE,d83d888f7f6c014093c6b93371e1fe51f3723213,268712.5,112144,1,271,2024-02-12
kafka,PR-15353,trunk,1,17278.0,1707741816.0,UNSTABLE,dcc82084d3744fe4539edddbf7e781fe48eb3895,293913.56,112141,39,268,2024-02-12
