Project_Module,Package,Class,Method,Instruction_Covered,Instruction_Missed,Is_Executed
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistries$LazyHolder,<clinit>()V,0,3,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistries,<init>()V,0,3,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistries,global()Lorg/apache/hadoop/hbase/metrics/MetricRegistries;,0,2,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistriesLoader,load()Lorg/apache/hadoop/hbase/metrics/MetricRegistries;,0,5,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistriesLoader,load(Ljava/util/List;)Lorg/apache/hadoop/hbase/metrics/MetricRegistries;,61,13,1
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistriesLoader,getDefinedImplemantations()Ljava/util/List;,0,24,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistriesLoader,<clinit>()V,4,0,1
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistryInfo,<init>(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Z)V,0,18,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistryInfo,getMetricsContext()Ljava/lang/String;,0,3,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistryInfo,getMetricsDescription()Ljava/lang/String;,0,3,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistryInfo,getMetricsJmxContext()Ljava/lang/String;,0,3,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistryInfo,getMetricsName()Ljava/lang/String;,0,3,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistryInfo,isExistingSource()Z,0,3,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistryInfo,equals(Ljava/lang/Object;)Z,0,14,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.MetricRegistryInfo,hashCode()I,0,17,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.Timer,updateMillis(J)V,0,5,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.Timer,updateMicros(J)V,0,5,0
hbase/hbase-metrics-api,org.apache.hadoop.hbase.metrics,org.apache.hadoop.hbase.metrics.Timer,updateNanos(J)V,0,5,0
hbase/hbase-client,org.apache.hadoop.hbase.replication,org.apache.hadoop.hbase.replication.ReplicationPeerConfigBuilder,putAllConfiguration(Ljava/util/Map;)Lorg/apache/hadoop/hbase/replication/ReplicationPeerConfigBuilder;,6,0,1
hbase/hbase-client,org.apache.hadoop.hbase.replication,org.apache.hadoop.hbase.replication.ReplicationPeerConfigBuilder,putAllPeerData(Ljava/util/Map;)Lorg/apache/hadoop/hbase/replication/ReplicationPeerConfigBuilder;,6,0,1
